Wavelength,Intensity
469.38728958272105,602.79998779296875
469.3958400280423,600.5999755859375
469.40439039860985,600.20001220703125
469.412940694415,601.5999755859375
469.42149091544883,603.4000244140625
469.43004106170247,599.4000244140625
469.43859113316711,599.5999755859375
469.44714112983388,601
469.45569105169386,602
469.46424089873824,603.5999755859375
469.47279067095826,604.79998779296875
469.48134036834489,602.4000244140625
469.48988999088942,602
469.49843953858289,601.79998779296875
469.50698901141652,605.20001220703125
469.51553840938146,601.4000244140625
469.52408773246884,599.5999755859375
469.53263698066979,602.20001220703125
469.54118615397545,601.5999755859375
469.549735252377,598.5999755859375
469.55828427586556,603.79998779296875
469.56683322443229,601.20001220703125
469.57538209806836,599.5999755859375
469.5839308967648,599.4000244140625
469.59247962051296,601.4000244140625
469.60102826930387,601
469.60957684312859,598.20001220703125
469.61812534197844,600.79998779296875
469.62667376584449,599.5999755859375
469.63522211471786,598.79998779296875
469.64377038858976,603
469.6523185874513,600.4000244140625
469.66086671129369,600.79998779296875
469.66941476010794,598.79998779296875
469.67796273388541,601.5999755859375
469.686510632617,600
469.69505845629408,601.5999755859375
469.70360620490771,603.20001220703125
469.71215387844893,602.79998779296875
469.72070147690914,597.4000244140625
469.72924900027925,601.20001220703125
469.73779644855057,601.4000244140625
469.74634382171416,599.5999755859375
469.75489111976117,598.5999755859375
469.76343834268289,602.20001220703125
469.77198549047034,599.5999755859375
469.78053256311466,600.20001220703125
469.789079560607,601.4000244140625
469.7976264829386,602.5999755859375
469.80617333010059,600.4000244140625
469.814720102084,602.5999755859375
469.82326679888013,602
469.8318134204801,600.4000244140625
469.840359966875,600.20001220703125
469.84890643805608,604.20001220703125
469.8574528340144,599.20001220703125
469.86599915474119,598.79998779296875
469.87454540022759,601
469.88309157046461,601.20001220703125
469.89163766544357,597.5999755859375
469.90018368515564,599.79998779296875
469.90872962959185,600.79998779296875
469.91727549874344,599.20001220703125
469.92582129260154,599.4000244140625
469.93436701115724,601.5999755859375
469.94291265440182,600.4000244140625
469.95145822232638,600
469.9600037149221,598.5999755859375
469.96854913217993,600.4000244140625
469.9770944740913,602
469.98563974064734,600
469.994184931839,603
470.00273004765768,600.20001220703125
470.01127508809441,598.4000244140625
470.01982005314028,603.20001220703125
470.0283649427866,598.5999755859375
470.03690975702438,599
470.04545449584487,599
470.0539991592392,600.79998779296875
470.06254374719856,598.79998779296875
470.071088259714,599.20001220703125
470.0796326967768,600.79998779296875
470.08817705837805,601
470.09672134450904,599
470.1052655551606,598.5999755859375
470.11380969032433,604.79998779296875
470.122353749991,604.79998779296875
470.13089773415203,602
470.13944164279843,600.20001220703125
470.14798547592142,601.20001220703125
470.15652923351217,599.4000244140625
470.16507291556172,599.20001220703125
470.17361652206142,600.20001220703125
470.18216005300229,601.5999755859375
470.19070350837552,600.20001220703125
470.19924688817235,604
470.20779019238381,598.79998779296875
470.21633342100114,598.79998779296875
470.22487657401547,602
470.233419651418,605.5999755859375
470.24196265319978,598.5999755859375
470.25050557935214,597.79998779296875
470.25904842986614,603.20001220703125
470.26759120473292,599.79998779296875
470.27613390394367,599.79998779296875
470.28467652748958,600.20001220703125
